t_rel_s,force_N,force_kgf
0.022339,0.000000,0.000000
0.046820,0.000000,0.000000
0.071229,0.000000,0.000000
0.095729,0.000000,0.000000
0.120102,0.000000,0.000000
0.145692,0.000000,0.000000
0.170086,0.000000,0.000000
0.194503,0.000000,0.000000
0.218825,0.000000,0.000000
0.243105,0.000000,0.000000
0.267736,0.000000,0.000000
0.291942,0.000000,0.000000
0.316227,0.000000,0.000000
0.340431,0.000000,0.000000
0.364851,0.000000,0.000000
0.389195,0.000000,0.000000
0.413340,0.000000,0.000000
0.437910,0.000000,0.000000
0.462236,0.000000,0.000000
0.486522,0.000000,0.000000
0.510943,0.000000,0.000000
0.535345,0.000000,0.000000
0.559830,0.000000,0.000000
0.584253,0.000000,0.000000
0.608795,0.000000,0.000000
0.633608,0.000000,0.000000
0.658479,0.000000,0.000000
0.683003,0.594223,0.060594
0.707845,0.594223,0.060594
0.732399,0.594223,0.060594
0.756877,0.594223,0.060594
0.781307,0.594223,0.060594
0.805911,0.594223,0.060594
0.830454,0.594223,0.060594
0.854949,0.594223,0.060594
0.879445,0.594223,0.060594
0.904125,0.594223,0.060594
0.928836,0.594223,0.060594
0.953229,0.904253,0.092208
0.977839,0.904253,0.092208
1.002288,0.904253,0.092208
1.026602,0.904253,0.092208
1.050935,0.904253,0.092208
1.075727,0.904253,0.092208
1.100195,0.904253,0.092208
1.124596,0.904253,0.092208
1.148944,0.904253,0.092208
1.173545,0.904253,0.092208
1.197894,1.162610,0.118553
1.222289,1.162610,0.118553
1.246654,1.162610,0.118553
1.271035,1.162610,0.118553
1.295505,1.162610,0.118553
1.319974,1.162610,0.118553
1.344355,1.162610,0.118553
1.368732,1.162610,0.118553
1.393132,1.162610,0.118553
1.417685,1.162610,0.118553
1.442045,1.653490,0.168609
1.466354,1.653490,0.168609
1.490773,1.653490,0.168609
1.515157,1.653490,0.168609
1.539634,1.653490,0.168609
1.564003,1.653490,0.168609
1.588281,1.653490,0.168609
1.612910,1.653490,0.168609
1.637452,1.653490,0.168609
1.661864,1.653490,0.168609
1.686438,2.066863,0.210761
1.710856,2.066863,0.210761
1.738672,2.066863,0.210761
1.769193,2.066863,0.210761
1.793611,2.066863,0.210761
1.822670,2.066863,0.210761
1.850647,2.066863,0.210761
1.878665,2.066863,0.210761
1.903193,2.066863,0.210761
1.930776,2.066863,0.210761
1.955648,2.661086,0.271355
1.980297,2.661086,0.271355
2.004773,2.661086,0.271355
2.029180,2.661086,0.271355
2.053789,2.661086,0.271355
2.079087,2.661086,0.271355
2.103722,2.661086,0.271355
2.128569,2.661086,0.271355
2.155501,2.661086,0.271355
2.187251,3.255309,0.331949
2.213074,3.255309,0.331949
2.237981,3.255309,0.331949
2.262615,3.255309,0.331949
2.294673,3.255309,0.331949
2.319081,3.255309,0.331949
2.343515,3.255309,0.331949
2.368012,3.255309,0.331949
2.392468,3.255309,0.331949
2.416929,3.255309,0.331949
2.441249,3.823697,0.389909
2.465820,3.823697,0.389909
2.493019,3.823697,0.389909
2.517399,3.823697,0.389909
2.541708,3.823697,0.389909
2.566134,3.823697,0.389909
2.590718,3.823697,0.389909
2.615203,3.823697,0.389909
2.639616,3.823697,0.389909
2.664083,3.823697,0.389909
2.688540,4.547099,0.463675
2.712792,4.547099,0.463675
2.737149,4.547099,0.463675
2.761420,4.547099,0.463675
2.785647,4.547099,0.463675
2.809815,4.547099,0.463675
2.834191,4.547099,0.463675
2.858615,4.547099,0.463675
2.882829,4.547099,0.463675
2.907109,4.547099,0.463675
2.931369,4.547099,0.463675
2.955671,5.296337,0.540076
2.979955,5.296337,0.540076
3.004317,5.296337,0.540076
3.028766,5.296337,0.540076
3.053071,5.296337,0.540076
3.077451,5.296337,0.540076
3.101825,5.296337,0.540076
3.126092,5.296337,0.540076
3.150382,5.296337,0.540076
3.174942,5.296337,0.540076
3.199281,6.045574,0.616477
3.223481,6.045574,0.616477
3.247798,6.045574,0.616477
3.272129,6.045574,0.616477
3.296416,6.045574,0.616477
3.320788,6.045574,0.616477
3.345222,6.045574,0.616477
3.369551,6.045574,0.616477
3.394197,6.045574,0.616477
3.418562,6.045574,0.616477
3.442867,6.717305,0.684974
3.467275,6.717305,0.684974
3.491558,6.717305,0.684974
3.515761,6.717305,0.684974
3.540062,6.717305,0.684974
3.564442,6.717305,0.684974
3.588764,6.717305,0.684974
3.613070,6.717305,0.684974
3.637428,6.717305,0.684974
3.661760,6.717305,0.684974
3.686076,7.156513,0.729761
3.710434,7.156513,0.729761
3.734823,7.156513,0.729761
3.759139,7.156513,0.729761
3.783500,7.156513,0.729761
3.807741,7.156513,0.729761
3.831994,7.156513,0.729761
3.856361,7.156513,0.729761
3.880663,7.156513,0.729761
3.904990,7.156513,0.729761
3.929233,7.156513,0.729761
3.953482,7.854079,0.800893
3.977911,7.854079,0.800893
4.002178,7.854079,0.800893
4.026431,7.854079,0.800893
4.050705,7.854079,0.800893
4.075038,7.854079,0.800893
4.099340,7.854079,0.800893
4.123601,7.854079,0.800893
4.148001,7.854079,0.800893
4.172344,7.854079,0.800893
4.197364,8.525810,0.869391
4.221643,8.525810,0.869391
4.246072,8.525810,0.869391
4.270358,8.525810,0.869391
4.294619,8.525810,0.869391
4.318820,8.525810,0.869391
4.343191,8.525810,0.869391
4.367577,8.525810,0.869391
4.392208,8.525810,0.869391
4.416401,8.525810,0.869391
4.440616,9.223376,0.940523
4.468621,9.223376,0.940523
4.492943,9.223376,0.940523
4.517152,9.223376,0.940523
4.541550,9.223376,0.940523
4.565879,9.223376,0.940523
4.590208,9.223376,0.940523
4.614527,9.223376,0.940523
4.638773,9.223376,0.940523
4.662957,9.223376,0.940523
4.687298,9.946778,1.014289
4.711500,9.946778,1.014289
4.735943,9.946778,1.014289
4.760149,9.946778,1.014289
4.784393,9.946778,1.014289
4.808588,9.946778,1.014289
4.832933,9.946778,1.014289
4.857175,9.946778,1.014289
4.881464,9.946778,1.014289
4.905737,9.946778,1.014289
4.930043,9.946778,1.014289
4.954522,10.644344,1.085421
4.978710,10.644344,1.085421
5.002903,10.644344,1.085421
5.027095,10.644344,1.085421
5.051436,10.644344,1.085421
5.075716,10.644344,1.085421
5.100023,10.644344,1.085421
5.124324,10.644344,1.085421
5.148604,10.644344,1.085421
5.172979,10.644344,1.085421
5.197320,11.316075,1.153919
5.221579,11.316075,1.153919
5.245816,11.316075,1.153919
5.270081,11.316075,1.153919
5.294351,11.316075,1.153919
5.318509,11.316075,1.153919
5.342735,11.316075,1.153919
5.367044,11.316075,1.153919
5.391251,11.316075,1.153919
5.415525,11.316075,1.153919
5.439783,11.755283,1.198705
5.464152,11.755283,1.198705
5.488423,11.755283,1.198705
5.512688,11.755283,1.198705
5.537110,11.755283,1.198705
5.561348,11.755283,1.198705
5.585580,11.755283,1.198705
5.610088,11.755283,1.198705
5.634475,11.755283,1.198705
5.658677,11.755283,1.198705
5.683116,11.755283,1.198705
5.707449,12.375342,1.261934
5.731628,12.375342,1.261934
5.755865,12.375342,1.261934
5.780164,12.375342,1.261934
5.804437,12.375342,1.261934
5.828596,12.375342,1.261934
5.852878,12.375342,1.261934
5.877210,12.375342,1.261934
5.901492,12.375342,1.261934
5.925758,12.375342,1.261934
5.950038,12.840386,1.309355
5.974479,12.840386,1.309355
5.999363,12.840386,1.309355
6.023685,12.840386,1.309355
6.048207,12.840386,1.309355
6.072426,12.840386,1.309355
6.096693,12.840386,1.309355
6.120968,12.840386,1.309355
6.145254,12.840386,1.309355
6.169506,12.840386,1.309355
6.193811,13.279594,1.354142
6.218249,13.279594,1.354142
6.242533,13.279594,1.354142
6.266867,13.279594,1.354142
6.291178,13.279594,1.354142
6.315530,13.279594,1.354142
6.340006,13.279594,1.354142
6.364422,13.279594,1.354142
6.389123,13.279594,1.354142
6.413358,13.279594,1.354142
6.437876,13.563788,1.383121
6.462212,13.563788,1.383121
6.486444,13.563788,1.383121
6.510684,13.563788,1.383121
6.535007,13.563788,1.383121
6.559363,13.563788,1.383121
6.583588,13.563788,1.383121
6.607848,13.563788,1.383121
6.632168,13.563788,1.383121
6.656419,13.563788,1.383121
6.680730,13.563788,1.383121
6.705155,13.796310,1.406832
6.729430,13.796310,1.406832
6.753779,13.796310,1.406832
6.778066,13.796310,1.406832
6.802425,13.796310,1.406832
6.826754,13.796310,1.406832
6.851047,13.796310,1.406832
6.875310,13.796310,1.406832
6.899557,13.796310,1.406832
6.923810,13.796310,1.406832
6.948110,14.054668,1.433177
6.972400,14.054668,1.433177
6.996711,14.054668,1.433177
7.021006,14.054668,1.433177
7.045317,14.054668,1.433177
7.069624,14.054668,1.433177
7.093918,14.054668,1.433177
7.118311,14.054668,1.433177
7.142664,14.054668,1.433177
7.166966,14.054668,1.433177
7.191465,14.235519,1.451619
7.215959,14.235519,1.451619
7.240418,14.235519,1.451619
7.266724,14.235519,1.451619
7.290964,14.235519,1.451619
7.315468,14.235519,1.451619
7.339742,14.235519,1.451619
7.364085,14.235519,1.451619
7.388332,14.235519,1.451619
7.412590,14.235519,1.451619
7.437133,14.235519,1.451619
7.461604,14.364698,1.464792
7.485808,14.364698,1.464792
7.510351,14.364698,1.464792
7.534599,14.364698,1.464792
7.558970,14.364698,1.464792
7.583288,14.364698,1.464792
7.607886,14.364698,1.464792
7.632751,14.364698,1.464792
7.656993,14.364698,1.464792
7.681290,14.364698,1.464792
7.706144,14.597220,1.488502
7.730635,14.597220,1.488502
7.757910,14.597220,1.488502
7.782357,14.597220,1.488502
7.806762,14.597220,1.488502
7.831087,14.597220,1.488502
7.855624,14.597220,1.488502
7.880118,14.597220,1.488502
7.904401,14.597220,1.488502
7.928912,14.597220,1.488502
7.953160,14.829742,1.512213
7.977438,14.829742,1.512213
8.001762,14.829742,1.512213
8.026023,14.829742,1.512213
8.050458,14.829742,1.512213
8.078693,14.829742,1.512213
8.103155,14.829742,1.512213
8.127437,14.829742,1.512213
8.151708,14.829742,1.512213
8.176027,14.829742,1.512213
8.200676,15.010592,1.530654
8.225358,15.010592,1.530654
8.249632,15.010592,1.530654
8.273875,15.010592,1.530654
8.298240,15.010592,1.530654
8.322728,15.010592,1.530654
8.347067,15.010592,1.530654
8.371447,15.010592,1.530654
8.395758,15.010592,1.530654
8.420057,15.010592,1.530654
8.444496,15.243114,1.554365
8.468795,15.243114,1.554365
8.493071,15.243114,1.554365
8.517345,15.243114,1.554365
8.541842,15.243114,1.554365
8.566101,15.243114,1.554365
8.590319,15.243114,1.554365
8.614633,15.243114,1.554365
8.638920,15.243114,1.554365
8.663215,15.243114,1.554365
8.687477,15.243114,1.554365
8.711700,15.423965,1.572807
8.736027,15.423965,1.572807
8.760298,15.423965,1.572807
8.784591,15.423965,1.572807
8.808984,15.423965,1.572807
8.833244,15.423965,1.572807
8.857516,15.423965,1.572807
8.881821,15.423965,1.572807
8.906172,15.423965,1.572807
8.930599,15.423965,1.572807
8.954909,15.604815,1.591248
8.979176,15.604815,1.591248
9.003786,15.604815,1.591248
9.028061,15.604815,1.591248
9.052572,15.604815,1.591248
9.076908,15.604815,1.591248
9.101182,15.604815,1.591248
9.125543,15.604815,1.591248
9.150078,15.604815,1.591248
9.174606,15.604815,1.591248
9.198908,15.785666,1.609690
9.223209,15.785666,1.609690
9.247590,15.785666,1.609690
9.271836,15.785666,1.609690
9.296166,15.785666,1.609690
9.320483,15.785666,1.609690
9.344852,15.785666,1.609690
9.369148,15.785666,1.609690
9.393446,15.785666,1.609690
9.417912,15.785666,1.609690
9.442253,15.914845,1.622863
9.466880,15.914845,1.622863
9.491463,15.914845,1.622863
9.515659,15.914845,1.622863
9.540147,15.914845,1.622863
9.564698,15.914845,1.622863
9.588952,15.914845,1.622863
9.613479,15.914845,1.622863
9.637862,15.914845,1.622863
9.662217,15.914845,1.622863
9.687211,15.914845,1.622863
9.711653,16.095695,1.641304
9.736010,16.095695,1.641304
9.760756,16.095695,1.641304
9.785265,16.095695,1.641304
9.809795,16.095695,1.641304
9.834392,16.095695,1.641304
9.858777,16.095695,1.641304
9.883063,16.095695,1.641304
9.907371,16.095695,1.641304
9.932422,16.095695,1.641304
9.961318,16.302382,1.662380
9.985833,16.302382,1.662380
10.010113,16.302382,1.662380
10.034451,16.302382,1.662380
10.058805,16.302382,1.662380
10.083192,16.302382,1.662380
10.107565,16.302382,1.662380
10.131930,16.302382,1.662380
10.156224,16.302382,1.662380
10.180601,16.302382,1.662380
10.204992,16.431561,1.675553
10.229414,16.431561,1.675553
10.253713,16.431561,1.675553
10.278083,16.431561,1.675553
10.302487,16.431561,1.675553
10.326731,16.431561,1.675553
10.351304,16.431561,1.675553
10.375906,16.431561,1.675553
10.400425,16.431561,1.675553
10.425021,16.431561,1.675553
10.449498,16.638247,1.696629
10.473867,16.638247,1.696629
10.498395,16.638247,1.696629
10.525865,16.638247,1.696629
10.554681,16.638247,1.696629
10.579016,16.638247,1.696629
10.603438,16.638247,1.696629
10.627841,16.638247,1.696629
10.652203,16.638247,1.696629
10.686673,16.638247,1.696629
10.711564,16.819098,1.715071
10.736159,16.819098,1.715071
10.760658,16.819098,1.715071
10.785086,16.819098,1.715071
10.809501,16.819098,1.715071
10.834128,16.819098,1.715071
10.858668,16.819098,1.715071
10.884132,16.819098,1.715071
10.908549,16.819098,1.715071
10.933096,16.819098,1.715071
10.957564,17.025784,1.736147
10.986857,17.025784,1.736147
11.014761,17.025784,1.736147
11.041197,17.025784,1.736147
11.065604,17.025784,1.736147
11.090799,17.025784,1.736147
11.121387,17.025784,1.736147
11.155225,17.025784,1.736147
11.179618,17.025784,1.736147
11.204497,17.206635,1.754588
11.234656,17.206635,1.754588
11.259234,17.206635,1.754588
11.283853,17.206635,1.754588
11.308378,17.206635,1.754588
11.332843,17.206635,1.754588
11.362792,17.206635,1.754588
11.387306,17.206635,1.754588
11.414699,17.206635,1.754588
11.446757,17.206635,1.754588
11.474647,17.335814,1.767761
11.498939,17.335814,1.767761
11.526624,17.335814,1.767761
11.558785,17.335814,1.767761
11.586647,17.335814,1.767761
11.614499,17.335814,1.767761
11.646721,17.335814,1.767761
11.672452,17.335814,1.767761
11.702729,17.516665,1.786203
11.727290,17.516665,1.786203
11.751763,17.516665,1.786203
11.776277,17.516665,1.786203
11.800927,17.516665,1.786203
11.825253,17.516665,1.786203
11.852641,17.516665,1.786203
11.882774,17.516665,1.786203
11.907374,17.516665,1.786203
11.931910,17.516665,1.786203
11.956280,17.697515,1.804644
11.980694,17.697515,1.804644
12.010747,17.697515,1.804644
12.036322,17.697515,1.804644
12.064756,17.697515,1.804644
12.094696,17.697515,1.804644
12.122703,17.697515,1.804644
12.150652,17.697515,1.804644
12.178640,17.697515,1.804644
12.207421,17.852530,1.820451
12.232552,17.852530,1.820451
12.258826,17.852530,1.820451
12.283464,17.852530,1.820451
12.307867,17.852530,1.820451
12.332322,17.852530,1.820451
12.356926,17.852530,1.820451
12.381752,17.852530,1.820451
12.406591,17.852530,1.820451
12.430888,17.852530,1.820451
12.458284,17.981709,1.833624
12.482791,17.981709,1.833624
12.516789,17.981709,1.833624
12.542742,17.981709,1.833624
12.567031,17.981709,1.833624
12.591445,17.981709,1.833624
12.618920,17.981709,1.833624
12.643413,17.981709,1.833624
12.667774,17.981709,1.833624
12.692140,17.981709,1.833624
12.716567,18.214230,1.857335
12.741173,18.214230,1.857335
12.765447,18.214230,1.857335
12.789639,18.214230,1.857335
12.813967,18.214230,1.857335
12.838652,18.214230,1.857335
12.862942,18.214230,1.857335
12.887481,18.214230,1.857335
12.911923,18.214230,1.857335
12.936361,18.214230,1.857335
12.962144,18.317574,1.867873
12.986554,18.317574,1.867873
13.011089,18.317574,1.867873
13.035392,18.317574,1.867873
13.059769,18.317574,1.867873
13.084174,18.317574,1.867873
13.108516,18.317574,1.867873
13.132825,18.317574,1.867873
13.158665,18.317574,1.867873
13.182957,18.317574,1.867873
13.207300,18.524260,1.888949
13.231677,18.524260,1.888949
13.256130,18.524260,1.888949
13.280659,18.524260,1.888949
13.304999,18.524260,1.888949
13.334697,18.524260,1.888949
13.362724,18.524260,1.888949
13.387149,18.524260,1.888949
13.414638,18.524260,1.888949
13.439099,18.524260,1.888949
13.466663,18.627604,1.899487
13.498771,18.627604,1.899487
13.526686,18.627604,1.899487
13.557708,18.627604,1.899487
13.582378,18.627604,1.899487
13.606948,18.627604,1.899487
13.631501,18.627604,1.899487
13.656199,18.627604,1.899487
13.680781,18.627604,1.899487
13.705250,18.808453,1.917928
13.729912,18.808453,1.917928
13.758680,18.808453,1.917928
13.786755,18.808453,1.917928
13.821932,18.808453,1.917928
13.852801,18.808453,1.917928
13.877349,18.808453,1.917928
13.906770,18.808453,1.917928
13.934793,18.808453,1.917928
13.959346,18.937632,1.931101
13.983770,18.937632,1.931101
14.008208,18.937632,1.931101
14.032709,18.937632,1.931101
14.057240,18.937632,1.931101
14.081933,18.937632,1.931101
14.106667,18.937632,1.931101
14.130971,18.937632,1.931101
14.155434,18.937632,1.931101
14.179938,18.937632,1.931101
14.204451,19.170155,1.954812
14.228816,19.170155,1.954812
14.253102,19.170155,1.954812
14.280810,19.170155,1.954812
14.305169,19.170155,1.954812
14.330650,19.170155,1.954812
14.354980,19.170155,1.954812
14.379405,19.170155,1.954812
14.403907,19.170155,1.954812
14.430661,19.170155,1.954812
14.455182,19.351006,1.973253
14.480316,19.351006,1.973253
14.504637,19.351006,1.973253
14.529220,19.351006,1.973253
14.556327,19.351006,1.973253
14.580723,19.351006,1.973253
14.605398,19.351006,1.973253
14.629836,19.351006,1.973253
14.654308,19.351006,1.973253
14.681595,19.351006,1.973253
14.706096,19.531855,1.991695
14.732764,19.531855,1.991695
14.757370,19.531855,1.991695
14.782969,19.531855,1.991695
14.810314,19.531855,1.991695
14.834702,19.531855,1.991695
14.859182,19.531855,1.991695
14.883690,19.531855,1.991695
14.908037,19.531855,1.991695
14.932391,19.531855,1.991695
14.956665,19.712706,2.010137
14.981169,19.712706,2.010137
15.005492,19.712706,2.010137
15.029785,19.712706,2.010137
15.054478,19.712706,2.010137
15.078848,19.712706,2.010137
15.103199,19.712706,2.010137
15.127593,19.712706,2.010137
15.154557,19.712706,2.010137
15.178860,19.712706,2.010137
15.203081,19.867722,2.025944
15.227395,19.867722,2.025944
15.251821,19.867722,2.025944
15.276219,19.867722,2.025944
15.300733,19.867722,2.025944
15.325209,19.867722,2.025944
15.349595,19.867722,2.025944
15.373950,19.867722,2.025944
15.398272,19.867722,2.025944
15.423091,19.867722,2.025944
15.448133,19.971064,2.036482
15.472543,19.971064,2.036482
15.497226,19.971064,2.036482
15.521820,19.971064,2.036482
15.546126,19.971064,2.036482
15.570505,19.971064,2.036482
15.594837,19.971064,2.036482
15.619309,19.971064,2.036482
15.643561,19.971064,2.036482
