t_rel_s,force_N,force_kgf
0.022350,0.000000,0.000000
0.046772,0.000000,0.000000
0.071081,0.000000,0.000000
0.095580,0.000000,0.000000
0.119787,0.000000,0.000000
0.143997,0.000000,0.000000
0.168182,0.000000,0.000000
0.192479,0.000000,0.000000
0.216678,0.000000,0.000000
0.240957,0.000000,0.000000
0.264993,0.000000,0.000000
0.289246,0.000000,0.000000
0.313417,0.000000,0.000000
0.337684,0.000000,0.000000
0.361928,0.000000,0.000000
0.386044,0.000000,0.000000
0.410304,0.000000,0.000000
0.434420,0.000000,0.000000
0.458690,0.000000,0.000000
0.482866,0.000000,0.000000
0.506964,0.000000,0.000000
0.531118,0.000000,0.000000
0.555362,0.000000,0.000000
0.579620,0.000000,0.000000
0.603836,0.000000,0.000000
0.628033,0.000000,0.000000
0.652279,0.000000,0.000000
0.676291,0.000000,0.000000
0.700428,0.000000,0.000000
0.724479,0.000000,0.000000
0.748672,0.000000,0.000000
0.772980,0.000000,0.000000
0.797271,0.000000,0.000000
0.821382,0.000000,0.000000
0.845532,0.000000,0.000000
0.869697,0.000000,0.000000
0.893795,0.697566,0.071132
0.917926,0.697566,0.071132
0.942275,0.697566,0.071132
0.966840,0.697566,0.071132
0.991398,0.697566,0.071132
1.015932,0.697566,0.071132
1.040358,0.697566,0.071132
1.064742,0.697566,0.071132
1.088850,0.697566,0.071132
1.112932,0.697566,0.071132
1.137110,0.930088,0.094843
1.161379,0.930088,0.094843
1.185640,0.930088,0.094843
1.209897,0.930088,0.094843
1.234266,0.930088,0.094843
1.258500,0.930088,0.094843
1.282605,0.930088,0.094843
1.306695,0.930088,0.094843
1.330726,0.930088,0.094843
1.354756,0.930088,0.094843
1.378827,1.420968,0.144898
1.402880,1.420968,0.144898
1.426912,1.420968,0.144898
1.451025,1.420968,0.144898
1.475220,1.420968,0.144898
1.499361,1.420968,0.144898
1.523597,1.420968,0.144898
1.547794,1.420968,0.144898
1.571927,1.420968,0.144898
1.596003,1.420968,0.144898
1.620133,1.420968,0.144898
1.644167,2.015192,0.205492
1.668220,2.015192,0.205492
1.692272,2.015192,0.205492
1.716316,2.015192,0.205492
1.740580,2.015192,0.205492
1.764761,2.015192,0.205492
1.788913,2.015192,0.205492
1.813043,2.015192,0.205492
1.837116,2.015192,0.205492
1.861149,2.015192,0.205492
1.885207,2.712758,0.276624
1.909407,2.712758,0.276624
1.933606,2.712758,0.276624
1.957889,2.712758,0.276624
1.982171,2.712758,0.276624
2.006362,2.712758,0.276624
2.030486,2.712758,0.276624
2.054596,2.712758,0.276624
2.078774,2.712758,0.276624
2.102935,2.712758,0.276624
2.127192,3.332817,0.339853
2.151400,3.332817,0.339853
2.175654,3.332817,0.339853
2.199923,3.332817,0.339853
2.224098,3.332817,0.339853
2.248285,3.332817,0.339853
2.272514,3.332817,0.339853
2.296661,3.332817,0.339853
2.320902,3.332817,0.339853
2.345055,3.332817,0.339853
2.369404,3.332817,0.339853
2.393455,4.030383,0.410985
2.417627,4.030383,0.410985
2.441858,4.030383,0.410985
2.466072,4.030383,0.410985
2.490371,4.030383,0.410985
2.514586,4.030383,0.410985
2.538737,4.030383,0.410985
2.562742,4.030383,0.410985
2.586898,4.030383,0.410985
2.611034,4.030383,0.410985
2.635214,4.624606,0.471579
2.659350,4.624606,0.471579
2.683508,4.624606,0.471579
2.707644,4.624606,0.471579
2.731801,4.624606,0.471579
2.755964,4.624606,0.471579
2.780090,4.624606,0.471579
2.804170,4.624606,0.471579
2.828277,4.624606,0.471579
2.852426,4.624606,0.471579
2.876569,5.037979,0.513731
2.900787,5.037979,0.513731
2.924910,5.037979,0.513731
2.949017,5.037979,0.513731
2.973236,5.037979,0.513731
2.997336,5.037979,0.513731
3.021477,5.037979,0.513731
3.045605,5.037979,0.513731
3.069685,5.037979,0.513731
3.093839,5.037979,0.513731
3.118041,5.037979,0.513731
3.142164,5.658038,0.576959
3.166317,5.658038,0.576959
3.190407,5.658038,0.576959
3.214551,5.658038,0.576959
3.238702,5.658038,0.576959
3.262874,5.658038,0.576959
3.286994,5.658038,0.576959
3.311063,5.658038,0.576959
3.335204,5.658038,0.576959
3.359277,5.658038,0.576959
3.383440,6.303932,0.642822
3.407499,6.303932,0.642822
3.431649,6.303932,0.642822
3.455755,6.303932,0.642822
3.479981,6.303932,0.642822
3.504126,6.303932,0.642822
3.528281,6.303932,0.642822
3.552558,6.303932,0.642822
3.576908,6.303932,0.642822
3.601110,6.303932,0.642822
3.625237,6.303932,0.642822
3.649406,6.846484,0.698147
3.673546,6.846484,0.698147
3.697643,6.846484,0.698147
3.721673,6.846484,0.698147
3.745741,6.846484,0.698147
3.769786,6.846484,0.698147
3.793958,6.846484,0.698147
3.818032,6.846484,0.698147
3.842151,6.846484,0.698147
3.866200,6.846484,0.698147
3.890314,7.311528,0.745568
3.914629,7.311528,0.745568
3.938787,7.311528,0.745568
3.962926,7.311528,0.745568
3.987053,7.311528,0.745568
4.011175,7.311528,0.745568
4.035288,7.311528,0.745568
4.059337,7.311528,0.745568
4.083418,7.311528,0.745568
4.107448,7.311528,0.745568
4.131595,7.673229,0.782452
4.155746,7.673229,0.782452
4.179887,7.673229,0.782452
4.204097,7.673229,0.782452
4.228197,7.673229,0.782452
4.252249,7.673229,0.782452
4.276287,7.673229,0.782452
4.300332,7.673229,0.782452
4.324473,7.673229,0.782452
4.348522,7.673229,0.782452
4.372686,7.673229,0.782452
4.396859,8.086601,0.824604
4.420984,8.086601,0.824604
4.445187,8.086601,0.824604
4.469279,8.086601,0.824604
4.493364,8.086601,0.824604
4.517500,8.086601,0.824604
4.541663,8.086601,0.824604
4.565807,8.086601,0.824604
4.589989,8.086601,0.824604
4.614370,8.086601,0.824604
4.638486,8.396631,0.856218
4.662533,8.396631,0.856218
4.686687,8.396631,0.856218
4.710818,8.396631,0.856218
4.734881,8.396631,0.856218
4.759024,8.396631,0.856218
4.783156,8.396631,0.856218
4.807245,8.396631,0.856218
4.831382,8.396631,0.856218
4.855683,8.396631,0.856218
4.880004,8.629153,0.879929
4.904056,8.629153,0.879929
4.928156,8.629153,0.879929
4.952240,8.629153,0.879929
4.976310,8.629153,0.879929
5.000358,8.629153,0.879929
5.024505,8.629153,0.879929
5.048648,8.629153,0.879929
5.072704,8.629153,0.879929
5.096754,8.629153,0.879929
5.120801,8.629153,0.879929
5.144962,8.939182,0.911543
5.169080,8.939182,0.911543
5.193240,8.939182,0.911543
5.217408,8.939182,0.911543
5.241580,8.939182,0.911543
5.265616,8.939182,0.911543
5.289870,8.939182,0.911543
5.314026,8.939182,0.911543
5.338107,8.939182,0.911543
5.362149,8.939182,0.911543
5.386252,9.275048,0.945792
5.410354,9.275048,0.945792
5.434552,9.275048,0.945792
5.458771,9.275048,0.945792
5.482887,9.275048,0.945792
5.506924,9.275048,0.945792
5.530992,9.275048,0.945792
5.555039,9.275048,0.945792
5.579078,9.275048,0.945792
5.603168,9.275048,0.945792
5.627903,9.559241,0.974771
5.652179,9.559241,0.974771
5.676384,9.559241,0.974771
5.700546,9.559241,0.974771
5.724704,9.559241,0.974771
5.748974,9.559241,0.974771
5.773321,9.559241,0.974771
5.797546,9.559241,0.974771
5.821815,9.559241,0.974771
5.846118,9.559241,0.974771
5.870368,9.559241,0.974771
5.894680,9.791763,0.998482
5.918852,9.791763,0.998482
5.943009,9.791763,0.998482
5.967275,9.791763,0.998482
5.991434,9.791763,0.998482
6.015767,9.791763,0.998482
6.040032,9.791763,0.998482
6.064495,9.791763,0.998482
6.088886,9.791763,0.998482
6.113241,9.791763,0.998482
6.137805,10.024285,1.022193
6.162111,10.024285,1.022193
6.186612,10.024285,1.022193
6.210861,10.024285,1.022193
6.235030,10.024285,1.022193
6.263708,10.024285,1.022193
6.288054,10.024285,1.022193
6.312438,10.024285,1.022193
6.336718,10.024285,1.022193
6.361043,10.024285,1.022193
6.385142,10.230972,1.043269
6.409460,10.230972,1.043269
6.433637,10.230972,1.043269
6.457987,10.230972,1.043269
6.482074,10.230972,1.043269
6.506223,10.230972,1.043269
6.530585,10.230972,1.043269
6.554752,10.230972,1.043269
6.578980,10.230972,1.043269
6.603170,10.230972,1.043269
6.627507,10.230972,1.043269
6.651738,10.489330,1.069614
6.675889,10.489330,1.069614
6.700087,10.489330,1.069614
6.724261,10.489330,1.069614
6.748402,10.489330,1.069614
6.772437,10.489330,1.069614
6.796473,10.489330,1.069614
6.820510,10.489330,1.069614
6.844654,10.489330,1.069614
6.868811,10.489330,1.069614
6.892959,10.618508,1.082787
6.917122,10.618508,1.082787
6.941192,10.618508,1.082787
6.965339,10.618508,1.082787
6.989457,10.618508,1.082787
7.013554,10.618508,1.082787
7.037799,10.618508,1.082787
7.061985,10.618508,1.082787
7.086132,10.618508,1.082787
7.110277,10.618508,1.082787
7.134456,10.851031,1.106497
7.158500,10.851031,1.106497
7.182554,10.851031,1.106497
7.206642,10.851031,1.106497
7.230672,10.851031,1.106497
7.254724,10.851031,1.106497
7.279053,10.851031,1.106497
7.304684,10.851031,1.106497
7.329805,10.851031,1.106497
7.354040,10.851031,1.106497
7.378225,10.851031,1.106497
7.402403,11.109388,1.132842
7.426519,11.109388,1.132842
7.450746,11.109388,1.132842
7.474883,11.109388,1.132842
7.499037,11.109388,1.132842
7.523195,11.109388,1.132842
7.547531,11.109388,1.132842
7.571695,11.109388,1.132842
7.595871,11.109388,1.132842
7.620012,11.109388,1.132842
7.644039,11.341910,1.156553
7.668083,11.341910,1.156553
7.692134,11.341910,1.156553
7.716169,11.341910,1.156553
7.740252,11.341910,1.156553
7.764397,11.341910,1.156553
7.788606,11.341910,1.156553
7.812850,11.341910,1.156553
7.837207,11.341910,1.156553
7.861438,11.341910,1.156553
7.885689,11.548597,1.177629
7.909838,11.548597,1.177629
7.934051,11.548597,1.177629
7.958247,11.548597,1.177629
7.982389,11.548597,1.177629
8.006428,11.548597,1.177629
8.030455,11.548597,1.177629
8.054591,11.548597,1.177629
8.078661,11.548597,1.177629
8.102733,11.548597,1.177629
8.126810,11.548597,1.177629
8.150946,11.703611,1.193436
8.174991,11.703611,1.193436
8.199067,11.703611,1.193436
8.223228,11.703611,1.193436
8.247364,11.703611,1.193436
8.271424,11.703611,1.193436
8.295621,11.703611,1.193436
8.319693,11.703611,1.193436
8.343812,11.703611,1.193436
8.367872,11.703611,1.193436
8.391956,11.806955,1.203974
8.416113,11.806955,1.203974
8.440317,11.806955,1.203974
8.464432,11.806955,1.203974
8.488666,11.806955,1.203974
8.512747,11.806955,1.203974
8.536905,11.806955,1.203974
8.561125,11.806955,1.203974
8.585220,11.806955,1.203974
8.609402,11.806955,1.203974
8.633842,11.936134,1.217147
8.657910,11.936134,1.217147
8.681995,11.936134,1.217147
8.706138,11.936134,1.217147
8.730303,11.936134,1.217147
8.754459,11.936134,1.217147
8.778591,11.936134,1.217147
8.802769,11.936134,1.217147
8.826888,11.936134,1.217147
8.851061,11.936134,1.217147
8.875107,11.936134,1.217147
8.899212,12.091148,1.232954
8.923321,12.091148,1.232954
8.947381,12.091148,1.232954
8.971432,12.091148,1.232954
8.995614,12.091148,1.232954
9.019793,12.091148,1.232954
9.043940,12.091148,1.232954
9.068260,12.091148,1.232954
9.092377,12.091148,1.232954
9.116546,12.091148,1.232954
9.140745,12.194491,1.243492
9.165055,12.194491,1.243492
9.189298,12.194491,1.243492
9.213369,12.194491,1.243492
9.237535,12.194491,1.243492
9.261708,12.194491,1.243492
9.285826,12.194491,1.243492
9.309972,12.194491,1.243492
9.334451,12.194491,1.243492
9.358729,12.194491,1.243492
9.382959,12.297835,1.254030
9.407241,12.297835,1.254030
9.431453,12.297835,1.254030
9.455793,12.297835,1.254030
9.480018,12.297835,1.254030
9.504245,12.297835,1.254030
9.528388,12.297835,1.254030
9.552534,12.297835,1.254030
9.576673,12.297835,1.254030
9.600799,12.297835,1.254030
9.624891,12.297835,1.254030
9.649021,12.427014,1.267203
9.673121,12.427014,1.267203
9.697492,12.427014,1.267203
9.721628,12.427014,1.267203
9.745792,12.427014,1.267203
9.770010,12.427014,1.267203
9.794271,12.427014,1.267203
9.818526,12.427014,1.267203
9.842766,12.427014,1.267203
9.866965,12.427014,1.267203
9.891078,12.556192,1.280375
9.915185,12.556192,1.280375
9.939331,12.556192,1.280375
9.963385,12.556192,1.280375
9.987547,12.556192,1.280375
10.011719,12.556192,1.280375
10.035917,12.556192,1.280375
10.060120,12.556192,1.280375
10.084171,12.556192,1.280375
10.108225,12.556192,1.280375
10.132281,12.685371,1.293548
10.156414,12.685371,1.293548
10.180465,12.685371,1.293548
10.204654,12.685371,1.293548
10.228782,12.685371,1.293548
10.252936,12.685371,1.293548
10.277098,12.685371,1.293548
10.301280,12.685371,1.293548
10.325308,12.685371,1.293548
10.349385,12.685371,1.293548
10.373433,12.685371,1.293548
10.397479,12.814550,1.306720
10.421517,12.814550,1.306720
10.445597,12.814550,1.306720
10.469626,12.814550,1.306720
10.493675,12.814550,1.306720
10.517807,12.814550,1.306720
10.541989,12.814550,1.306720
10.566175,12.814550,1.306720
10.590470,12.814550,1.306720
10.614718,12.814550,1.306720
10.638847,12.917893,1.317259
10.663090,12.917893,1.317259
10.687259,12.917893,1.317259
10.711508,12.917893,1.317259
10.735685,12.917893,1.317259
10.759845,12.917893,1.317259
10.783978,12.917893,1.317259
10.808123,12.917893,1.317259
10.832256,12.917893,1.317259
10.856427,12.917893,1.317259
10.880583,12.917893,1.317259
10.904737,13.047072,1.330431
10.928774,13.047072,1.330431
10.952962,13.047072,1.330431
10.977004,13.047072,1.330431
11.001157,13.047072,1.330431
11.025220,13.047072,1.330431
11.049265,13.047072,1.330431
11.073315,13.047072,1.330431
11.097355,13.047072,1.330431
11.121525,13.047072,1.330431
11.145676,13.176251,1.343604
11.169753,13.176251,1.343604
11.194002,13.176251,1.343604
11.218052,13.176251,1.343604
11.242102,13.176251,1.343604
11.266160,13.176251,1.343604
11.290211,13.176251,1.343604
11.314259,13.176251,1.343604
11.338266,13.176251,1.343604
11.362406,13.176251,1.343604
11.386431,13.305430,1.356776
11.410484,13.305430,1.356776
11.434547,13.305430,1.356776
11.458622,13.305430,1.356776
11.482656,13.305430,1.356776
11.506716,13.305430,1.356776
11.530765,13.305430,1.356776
11.554823,13.305430,1.356776
11.579048,13.305430,1.356776
11.603159,13.305430,1.356776
11.627299,13.305430,1.356776
11.651488,13.434609,1.369949
11.675621,13.434609,1.369949
11.699687,13.434609,1.369949
11.723738,13.434609,1.369949
11.747842,13.434609,1.369949
11.772171,13.434609,1.369949
11.796505,13.434609,1.369949
11.820798,13.434609,1.369949
11.845113,13.434609,1.369949
11.869449,13.434609,1.369949
11.893905,13.563788,1.383121
11.918166,13.563788,1.383121
11.942352,13.563788,1.383121
11.966557,13.563788,1.383121
11.990794,13.563788,1.383121
12.014987,13.563788,1.383121
12.039142,13.563788,1.383121
12.063140,13.563788,1.383121
12.087182,13.563788,1.383121
12.111217,13.563788,1.383121
12.135341,13.692967,1.396294
12.159530,13.692967,1.396294
12.183683,13.692967,1.396294
12.207868,13.692967,1.396294
12.232011,13.692967,1.396294
12.256060,13.692967,1.396294
12.280135,13.692967,1.396294
12.304210,13.692967,1.396294
12.328316,13.692967,1.396294
12.352360,13.692967,1.396294
12.376397,13.692967,1.396294
12.400467,13.744639,1.401563
12.424493,13.744639,1.401563
12.448597,13.744639,1.401563
12.473042,13.744639,1.401563
12.497095,13.744639,1.401563
12.521245,13.744639,1.401563
12.545447,13.744639,1.401563
12.569557,13.744639,1.401563
12.593601,13.744639,1.401563
12.617666,13.744639,1.401563
12.641697,13.847982,1.412101
12.665854,13.847982,1.412101
12.689931,13.847982,1.412101
12.714080,13.847982,1.412101
12.738245,13.847982,1.412101
12.762398,13.847982,1.412101
12.786452,13.847982,1.412101
12.810672,13.847982,1.412101
12.834825,13.847982,1.412101
12.859022,13.847982,1.412101
12.883220,13.847982,1.412101
12.907322,14.002997,1.427908
12.931491,14.002997,1.427908
12.955543,14.002997,1.427908
12.979600,14.002997,1.427908
13.003671,14.002997,1.427908
13.027756,14.002997,1.427908
13.051887,14.002997,1.427908
13.076044,14.002997,1.427908
13.100385,14.002997,1.427908
13.124610,14.002997,1.427908
13.148717,14.132175,1.441081
13.172879,14.132175,1.441081
13.196999,14.132175,1.441081
13.221299,14.132175,1.441081
13.245442,14.132175,1.441081
13.269646,14.132175,1.441081
13.293865,14.132175,1.441081
13.318042,14.132175,1.441081
13.342439,14.132175,1.441081
13.366469,14.132175,1.441081
13.390513,14.287190,1.456888
13.414569,14.287190,1.456888
13.438691,14.287190,1.456888
13.462773,14.287190,1.456888
13.486830,14.287190,1.456888
13.510978,14.287190,1.456888
13.535033,14.287190,1.456888
13.559092,14.287190,1.456888
13.583222,14.287190,1.456888
13.607387,14.287190,1.456888
13.631523,14.287190,1.456888
13.655580,14.390533,1.467426
13.679627,14.390533,1.467426
13.703821,14.390533,1.467426
13.727934,14.390533,1.467426
13.751989,14.390533,1.467426
13.776341,14.390533,1.467426
13.800415,14.390533,1.467426
13.824567,14.390533,1.467426
13.848621,14.390533,1.467426
13.872697,14.390533,1.467426
13.896907,14.519712,1.480599
13.921107,14.519712,1.480599
13.945366,14.519712,1.480599
13.969411,14.519712,1.480599
13.993483,14.519712,1.480599
14.017534,14.519712,1.480599
14.041581,14.519712,1.480599
14.065626,14.519712,1.480599
14.089707,14.519712,1.480599
14.113884,14.519712,1.480599
14.137913,14.623055,1.491137
14.161985,14.623055,1.491137
14.186143,14.623055,1.491137
14.210605,14.623055,1.491137
14.234656,14.623055,1.491137
14.258718,14.623055,1.491137
14.282780,14.623055,1.491137
14.306818,14.623055,1.491137
14.330904,14.623055,1.491137
14.355028,14.623055,1.491137
14.379160,14.623055,1.491137
14.403609,14.700563,1.499040
14.427819,14.700563,1.499040
14.452033,14.700563,1.499040
14.476504,14.700563,1.499040
14.500826,14.700563,1.499040
14.525217,14.700563,1.499040
14.549432,14.700563,1.499040
14.573632,14.700563,1.499040
14.597870,14.700563,1.499040
14.622104,14.700563,1.499040
14.646322,14.829742,1.512213
14.670431,14.829742,1.512213
14.694754,14.829742,1.512213
14.718930,14.829742,1.512213
14.743236,14.829742,1.512213
14.767369,14.829742,1.512213
14.791632,14.829742,1.512213
14.816014,14.829742,1.512213
14.840322,14.829742,1.512213
14.864449,14.829742,1.512213
14.888618,14.984756,1.528020
14.912821,14.984756,1.528020
14.936977,14.984756,1.528020
14.961181,14.984756,1.528020
14.985484,14.984756,1.528020
15.009645,14.984756,1.528020
15.033824,14.984756,1.528020
15.057957,14.984756,1.528020
15.082461,14.984756,1.528020
15.106585,14.984756,1.528020
15.130695,14.984756,1.528020
15.154949,15.088100,1.538558
15.179096,15.088100,1.538558
15.203290,15.088100,1.538558
15.227536,15.088100,1.538558
15.251668,15.088100,1.538558
15.275792,15.088100,1.538558
15.300064,15.088100,1.538558
15.324273,15.088100,1.538558
15.348609,15.088100,1.538558
