t_rel_s,force_N,force_kgf
0.022250,-0.000000,-0.000000
0.046582,-0.000000,-0.000000
0.070767,-0.000000,-0.000000
0.095188,-0.000000,-0.000000
0.119832,-0.000000,-0.000000
0.144074,-0.000000,-0.000000
0.168332,-0.000000,-0.000000
0.192762,-0.000000,-0.000000
0.217141,-0.000000,-0.000000
0.241284,-0.000000,-0.000000
0.265735,-0.000000,-0.000000
0.289905,-0.000000,-0.000000
0.313979,-0.000000,-0.000000
0.338107,-0.000000,-0.000000
0.362516,-0.000000,-0.000000
0.386757,-0.000000,-0.000000
0.410860,-0.000000,-0.000000
0.434940,-0.000000,-0.000000
0.459064,-0.000000,-0.000000
0.483218,-0.000000,-0.000000
0.507298,-0.000000,-0.000000
0.531335,-0.000000,-0.000000
0.555478,-0.000000,-0.000000
0.579529,-0.000000,-0.000000
0.603479,-0.000000,-0.000000
0.627600,-0.000000,-0.000000
0.651760,0.000000,0.000000
0.675953,0.000000,0.000000
0.700008,0.000000,0.000000
0.724028,0.000000,0.000000
0.748069,0.000000,0.000000
0.772161,0.000000,0.000000
0.796283,0.000000,0.000000
0.820443,0.000000,0.000000
0.844508,0.000000,0.000000
0.868542,0.000000,0.000000
0.892638,0.000000,0.000000
0.916643,0.000000,0.000000
0.940679,0.000000,0.000000
0.964761,0.000000,0.000000
0.988786,0.000000,0.000000
1.012884,0.000000,0.000000
1.036981,0.000000,0.000000
1.061200,0.000000,0.000000
1.085391,0.000000,0.000000
1.109554,0.000000,0.000000
1.133840,0.723402,0.073766
1.158330,0.723402,0.073766
1.182967,0.723402,0.073766
1.207467,0.723402,0.073766
1.231638,0.723402,0.073766
1.255820,0.723402,0.073766
1.280048,0.723402,0.073766
1.304391,0.723402,0.073766
1.328787,0.723402,0.073766
1.353008,0.723402,0.073766
1.377215,0.723402,0.073766
1.401311,1.136775,0.115919
1.425488,1.136775,0.115919
1.449706,1.136775,0.115919
1.473823,1.136775,0.115919
1.497866,1.136775,0.115919
1.522024,1.136775,0.115919
1.546305,1.136775,0.115919
1.570592,1.136775,0.115919
1.594789,1.136775,0.115919
1.618917,1.136775,0.115919
1.643117,1.730998,0.176513
1.667394,1.730998,0.176513
1.691611,1.730998,0.176513
1.715766,1.730998,0.176513
1.739928,1.730998,0.176513
1.763993,1.730998,0.176513
1.788006,1.730998,0.176513
1.812057,1.730998,0.176513
1.836113,1.730998,0.176513
1.860254,1.730998,0.176513
1.884385,2.402728,0.245010
1.908535,2.402728,0.245010
1.932880,2.402728,0.245010
1.957062,2.402728,0.245010
1.981356,2.402728,0.245010
2.005472,2.402728,0.245010
2.029615,2.402728,0.245010
2.053786,2.402728,0.245010
2.077906,2.402728,0.245010
2.102232,2.402728,0.245010
2.126361,2.402728,0.245010
2.150426,3.022787,0.308239
2.174544,3.022787,0.308239
2.198798,3.022787,0.308239
2.222997,3.022787,0.308239
2.247158,3.022787,0.308239
2.271314,3.022787,0.308239
2.295344,3.022787,0.308239
2.319382,3.022787,0.308239
2.343331,3.022787,0.308239
2.367392,3.022787,0.308239
2.391526,3.642846,0.371467
2.415672,3.642846,0.371467
2.439817,3.642846,0.371467
2.463907,3.642846,0.371467
2.488040,3.642846,0.371467
2.512207,3.642846,0.371467
2.536240,3.642846,0.371467
2.560421,3.642846,0.371467
2.584620,3.642846,0.371467
2.608854,3.642846,0.371467
2.633127,4.133726,0.421523
2.657345,4.133726,0.421523
2.681424,4.133726,0.421523
2.705485,4.133726,0.421523
2.729505,4.133726,0.421523
2.753572,4.133726,0.421523
2.777637,4.133726,0.421523
2.801868,4.133726,0.421523
2.826144,4.133726,0.421523
2.850287,4.133726,0.421523
2.874421,4.133726,0.421523
2.898636,4.443756,0.453137
2.922795,4.443756,0.453137
2.946904,4.443756,0.453137
2.971075,4.443756,0.453137
2.995198,4.443756,0.453137
3.019344,4.443756,0.453137
3.043566,4.443756,0.453137
3.067633,4.443756,0.453137
3.091687,4.443756,0.453137
3.115830,4.443756,0.453137
3.139926,4.882964,0.497924
3.163953,4.882964,0.497924
3.188021,4.882964,0.497924
3.212116,4.882964,0.497924
3.236190,4.882964,0.497924
3.260379,4.882964,0.497924
3.284574,4.882964,0.497924
3.308716,4.882964,0.497924
3.332950,4.882964,0.497924
3.357015,4.882964,0.497924
3.381109,4.882964,0.497924
3.405124,5.244665,0.534807
3.429171,5.244665,0.534807
3.453314,5.244665,0.534807
3.477382,5.244665,0.534807
3.501535,5.244665,0.534807
3.525693,5.244665,0.534807
3.549975,5.244665,0.534807
3.573994,5.244665,0.534807
3.598037,5.244665,0.534807
3.622098,5.244665,0.534807
3.646307,5.554694,0.566421
3.670388,5.554694,0.566421
3.694444,5.554694,0.566421
3.718483,5.554694,0.566421
3.742527,5.554694,0.566421
3.766691,5.554694,0.566421
3.790822,5.554694,0.566421
3.814895,5.554694,0.566421
3.839020,5.554694,0.566421
3.863201,5.554694,0.566421
3.887246,5.993903,0.611208
3.911349,5.993903,0.611208
3.935637,5.993903,0.611208
3.959675,5.993903,0.611208
3.983773,5.993903,0.611208
4.008021,5.993903,0.611208
4.032192,5.993903,0.611208
4.056326,5.993903,0.611208
4.080474,5.993903,0.611208
4.104551,5.993903,0.611208
4.128625,5.993903,0.611208
4.152760,6.433111,0.655995
4.176932,6.433111,0.655995
4.201285,6.433111,0.655995
4.225370,6.433111,0.655995
4.249520,6.433111,0.655995
4.273592,6.433111,0.655995
4.297639,6.433111,0.655995
4.321682,6.433111,0.655995
4.345653,6.433111,0.655995
4.369799,6.433111,0.655995
4.393947,6.872320,0.700782
4.418075,6.872320,0.700782
4.442165,6.872320,0.700782
4.466351,6.872320,0.700782
4.490470,6.872320,0.700782
4.514627,6.872320,0.700782
4.538678,6.872320,0.700782
4.562752,6.872320,0.700782
4.586906,6.872320,0.700782
4.610948,6.872320,0.700782
4.635012,7.208185,0.735030
4.659215,7.208185,0.735030
4.683299,7.208185,0.735030
4.707449,7.208185,0.735030
4.731616,7.208185,0.735030
