t_rel_s,force_N,force_kgf
0.022209,-0.000000,-0.000000
0.046423,-0.000000,-0.000000
0.070587,-0.000000,-0.000000
0.094747,-0.000000,-0.000000
0.118981,-0.000000,-0.000000
0.143248,-0.000000,-0.000000
0.167353,-0.000000,-0.000000
0.191488,-0.000000,-0.000000
0.215758,-0.000000,-0.000000
0.240014,-0.000000,-0.000000
0.264303,-0.000000,-0.000000
0.288586,-0.000000,-0.000000
0.312796,-0.000000,-0.000000
0.336952,-0.000000,-0.000000
0.361136,-0.000000,-0.000000
0.385191,-0.000000,-0.000000
0.409193,-0.000000,-0.000000
0.433201,-0.000000,-0.000000
0.457290,-0.000000,-0.000000
0.481398,-0.000000,-0.000000
0.505531,-0.000000,-0.000000
0.529576,-0.000000,-0.000000
0.553602,-0.000000,-0.000000
0.577728,-0.000000,-0.000000
0.601954,0.542552,0.055325
0.626117,0.542552,0.055325
0.650288,0.542552,0.055325
0.674466,0.542552,0.055325
0.698638,0.542552,0.055325
0.722816,0.542552,0.055325
0.746881,0.542552,0.055325
0.770982,0.542552,0.055325
0.795006,0.542552,0.055325
0.819062,0.542552,0.055325
0.843138,1.059267,0.108015
0.867252,1.059267,0.108015
0.891286,1.059267,0.108015
0.915326,1.059267,0.108015
0.939393,1.059267,0.108015
0.963536,1.059267,0.108015
0.987644,1.059267,0.108015
1.011800,1.059267,0.108015
1.035931,1.059267,0.108015
1.060109,1.059267,0.108015
1.084296,1.059267,0.108015
1.108630,1.756834,0.179147
1.133223,1.756834,0.179147
1.158104,1.756834,0.179147
1.182468,1.756834,0.179147
1.206823,1.756834,0.179147
1.231107,1.756834,0.179147
1.255342,1.756834,0.179147
1.279477,1.756834,0.179147
1.303783,1.756834,0.179147
1.328079,1.756834,0.179147
1.352269,2.738594,0.279259
1.376376,2.738594,0.279259
1.400564,2.738594,0.279259
1.424738,2.738594,0.279259
1.448940,2.738594,0.279259
1.473030,2.738594,0.279259
1.497156,2.738594,0.279259
1.521213,2.738594,0.279259
1.545278,2.738594,0.279259
1.569390,2.738594,0.279259
1.593546,3.694518,0.376736
1.617632,3.694518,0.376736
1.641775,3.694518,0.376736
1.665790,3.694518,0.376736
1.689827,3.694518,0.376736
1.713859,3.694518,0.376736
1.738026,3.694518,0.376736
1.762023,3.694518,0.376736
1.786079,3.694518,0.376736
1.810409,3.694518,0.376736
1.834438,3.694518,0.376736
1.858488,4.521263,0.461040
1.882515,4.521263,0.461040
1.906550,4.521263,0.461040
1.930586,4.521263,0.461040
1.954724,4.521263,0.461040
1.978850,4.521263,0.461040
2.002898,4.521263,0.461040
2.026907,4.521263,0.461040
2.050962,4.521263,0.461040
2.075082,4.521263,0.461040
2.099200,5.244665,0.534807
2.123323,5.244665,0.534807
2.147524,5.244665,0.534807
2.171717,5.244665,0.534807
2.195828,5.244665,0.534807
2.219972,5.244665,0.534807
2.244127,5.244665,0.534807
2.268355,5.244665,0.534807
2.292570,5.244665,0.534807
2.316777,5.244665,0.534807
2.340968,5.813052,0.592766
2.365256,5.813052,0.592766
2.389428,5.813052,0.592766
2.413535,5.813052,0.592766
2.437748,5.813052,0.592766
2.462067,5.813052,0.592766
2.486274,5.813052,0.592766
2.510534,5.813052,0.592766
2.534789,5.813052,0.592766
2.559032,5.813052,0.592766
2.583242,5.813052,0.592766
2.607476,6.200589,0.632284
2.631568,6.200589,0.632284
2.655762,6.200589,0.632284
2.679986,6.200589,0.632284
2.704212,6.200589,0.632284
2.728421,6.200589,0.632284
2.752616,6.200589,0.632284
2.776772,6.200589,0.632284
2.800975,6.200589,0.632284
2.825240,6.200589,0.632284
2.849413,6.717305,0.684974
2.873595,6.717305,0.684974
2.897805,6.717305,0.684974
2.921931,6.717305,0.684974
2.946075,6.717305,0.684974
2.970195,6.717305,0.684974
2.994219,6.717305,0.684974
3.018262,6.717305,0.684974
3.042409,6.717305,0.684974
3.066419,6.717305,0.684974
3.090540,7.285692,0.742934
3.114610,7.285692,0.742934
3.138769,7.285692,0.742934
3.162778,7.285692,0.742934
3.186832,7.285692,0.742934
3.210973,7.285692,0.742934
3.235112,7.285692,0.742934
3.259290,7.285692,0.742934
3.283571,7.285692,0.742934
3.307656,7.285692,0.742934
3.331697,7.285692,0.742934
3.355869,7.828244,0.798259
3.379981,7.828244,0.798259
3.404064,7.828244,0.798259
3.428167,7.828244,0.798259
3.452274,7.828244,0.798259
3.476354,7.828244,0.798259
3.500385,7.828244,0.798259
3.524458,7.828244,0.798259
3.548624,7.828244,0.798259
3.572731,7.828244,0.798259
3.596754,8.344959,0.850949
3.620806,8.344959,0.850949
3.644956,8.344959,0.850949
3.669094,8.344959,0.850949
3.693242,8.344959,0.850949
3.717294,8.344959,0.850949
3.741446,8.344959,0.850949
