t_rel_s,force_N,force_kgf
0.022500,0.000000,0.000000
0.046742,0.000000,0.000000
0.071041,0.000000,0.000000
0.095504,0.000000,0.000000
0.119871,0.000000,0.000000
0.144107,0.000000,0.000000
0.168307,0.000000,0.000000
0.192380,0.000000,0.000000
0.216445,0.000000,0.000000
0.240471,0.000000,0.000000
0.264422,-0.000000,-0.000000
0.288483,-0.000000,-0.000000
0.312640,-0.000000,-0.000000
0.336734,-0.000000,-0.000000
0.360821,-0.000000,-0.000000
0.385002,-0.000000,-0.000000
0.409077,-0.000000,-0.000000
0.433331,-0.000000,-0.000000
0.457379,-0.000000,-0.000000
0.481426,-0.000000,-0.000000
0.505494,0.000000,0.000000
0.529547,0.000000,0.000000
0.553606,0.000000,0.000000
0.577769,0.000000,0.000000
0.601832,0.000000,0.000000
0.625896,0.000000,0.000000
0.649940,0.000000,0.000000
0.674078,0.000000,0.000000
0.698336,0.000000,0.000000
0.722499,0.000000,0.000000
0.746889,0.000000,0.000000
0.771021,0.000000,0.000000
0.795108,0.000000,0.000000
0.819205,0.000000,0.000000
0.843226,0.000000,0.000000
0.867302,0.000000,0.000000
0.891400,0.000000,0.000000
0.915515,0.000000,0.000000
0.939730,0.000000,0.000000
0.964061,0.000000,0.000000
0.988444,0.000000,0.000000
1.012802,-0.000000,-0.000000
1.036986,-0.000000,-0.000000
1.061100,-0.000000,-0.000000
1.085203,-0.000000,-0.000000
1.109587,-0.000000,-0.000000
1.134099,-0.000000,-0.000000
1.158525,-0.000000,-0.000000
1.182995,-0.000000,-0.000000
1.207179,-0.000000,-0.000000
1.231405,-0.000000,-0.000000
1.255948,0.000000,0.000000
1.280272,0.000000,0.000000
1.304411,0.000000,0.000000
1.328549,0.000000,0.000000
1.352671,0.000000,0.000000
1.376718,0.000000,0.000000
1.400778,0.000000,0.000000
1.424860,0.000000,0.000000
1.449093,0.000000,0.000000
1.473298,0.000000,0.000000
1.497322,0.000000,0.000000
1.521437,0.000000,0.000000
1.545688,0.000000,0.000000
1.569810,0.000000,0.000000
1.593922,0.000000,0.000000
1.617949,0.000000,0.000000
1.641992,0.000000,0.000000
1.666045,0.000000,0.000000
1.690102,0.000000,0.000000
1.714068,0.000000,0.000000
1.738124,0.000000,0.000000
1.762177,0.000000,0.000000
1.786264,0.000000,0.000000
1.810411,0.000000,0.000000
1.834516,0.000000,0.000000
1.858606,0.000000,0.000000
1.882667,0.000000,0.000000
1.906827,0.000000,0.000000
1.930977,0.000000,0.000000
1.955051,0.000000,0.000000
1.979088,0.000000,0.000000
2.003139,0.000000,0.000000
2.027265,0.000000,0.000000
2.051476,0.000000,0.000000
2.075608,0.000000,0.000000
2.099789,0.000000,0.000000
2.123960,0.000000,0.000000
2.148337,0.000000,0.000000
2.172453,0.000000,0.000000
2.196566,0.000000,0.000000
2.220726,0.000000,0.000000
2.244917,0.000000,0.000000
2.269154,-0.000000,-0.000000
2.293406,-0.000000,-0.000000
2.317517,-0.000000,-0.000000
2.341781,-0.000000,-0.000000
2.365948,-0.000000,-0.000000
2.390114,-0.000000,-0.000000
2.414389,-0.000000,-0.000000
2.438600,-0.000000,-0.000000
2.462727,-0.000000,-0.000000
2.486798,-0.000000,-0.000000
2.510975,0.000000,0.000000
2.535172,0.000000,0.000000
2.559401,0.000000,0.000000
2.583563,0.000000,0.000000
2.607763,0.000000,0.000000
2.631930,0.000000,0.000000
2.656027,0.000000,0.000000
2.680152,0.000000,0.000000
2.704267,0.000000,0.000000
2.728491,0.000000,0.000000
2.752554,0.000000,0.000000
2.776644,-0.000000,-0.000000
2.800751,-0.000000,-0.000000
2.824811,-0.000000,-0.000000
2.848957,-0.000000,-0.000000
2.873096,-0.000000,-0.000000
2.897231,-0.000000,-0.000000
2.921347,-0.000000,-0.000000
2.945453,-0.000000,-0.000000
2.969442,-0.000000,-0.000000
2.993508,-0.000000,-0.000000
3.017582,-0.000000,-0.000000
3.041687,-0.000000,-0.000000
3.065782,-0.000000,-0.000000
3.089820,-0.000000,-0.000000
3.113978,-0.000000,-0.000000
3.138153,-0.000000,-0.000000
3.162297,-0.000000,-0.000000
3.186353,-0.000000,-0.000000
3.210417,-0.000000,-0.000000
3.234600,-0.000000,-0.000000
3.258762,-0.000000,-0.000000
3.282804,-0.000000,-0.000000
3.306850,-0.000000,-0.000000
3.330966,-0.000000,-0.000000
3.355080,-0.000000,-0.000000
3.379234,-0.000000,-0.000000
3.403417,-0.000000,-0.000000
3.427503,-0.000000,-0.000000
3.451861,-0.000000,-0.000000
3.475918,-0.000000,-0.000000
3.499987,-0.000000,-0.000000
3.524051,0.000000,0.000000
3.548116,0.000000,0.000000
3.572163,0.000000,0.000000
3.596237,0.000000,0.000000
3.620282,0.000000,0.000000
3.644451,0.000000,0.000000
3.668511,0.000000,0.000000
3.692655,0.000000,0.000000
3.716778,0.000000,0.000000
3.740771,0.000000,0.000000
3.764886,-0.000000,-0.000000
3.789053,-0.000000,-0.000000
3.813266,-0.000000,-0.000000
3.837479,-0.000000,-0.000000
3.861779,-0.000000,-0.000000
3.886241,-0.000000,-0.000000
3.910376,-0.000000,-0.000000
3.934550,-0.000000,-0.000000
3.958846,-0.000000,-0.000000
3.983029,-0.000000,-0.000000
4.007196,-0.000000,-0.000000
4.031333,-0.000000,-0.000000
4.055470,-0.000000,-0.000000
4.079538,-0.000000,-0.000000
4.103581,-0.000000,-0.000000
4.127736,-0.000000,-0.000000
4.151862,-0.000000,-0.000000
4.176036,-0.000000,-0.000000
4.200187,-0.000000,-0.000000
4.224247,-0.000000,-0.000000
4.248291,-0.000000,-0.000000
4.272335,-0.000000,-0.000000
4.296402,-0.000000,-0.000000
4.320550,-0.000000,-0.000000
4.344651,-0.000000,-0.000000
4.368765,-0.000000,-0.000000
4.392857,-0.000000,-0.000000
4.416980,-0.000000,-0.000000
4.441025,-0.000000,-0.000000
4.464974,-0.000000,-0.000000
4.489041,-0.000000,-0.000000
4.513107,-0.000000,-0.000000
4.537144,-0.000000,-0.000000
4.561208,-0.000000,-0.000000
4.585152,-0.000000,-0.000000
4.609203,-0.000000,-0.000000
4.633280,-0.000000,-0.000000
4.657317,-0.000000,-0.000000
4.681383,-0.000000,-0.000000
4.705440,-0.000000,-0.000000
4.729608,-0.000000,-0.000000
4.753662,-0.000000,-0.000000
4.777829,-0.000000,-0.000000
4.801914,-0.000000,-0.000000
4.826068,-0.000000,-0.000000
4.850250,-0.000000,-0.000000
4.874295,-0.000000,-0.000000
4.898252,-0.000000,-0.000000
4.922359,-0.000000,-0.000000
4.946539,-0.000000,-0.000000
4.970730,-0.000000,-0.000000
4.995104,-0.000000,-0.000000
5.019396,-0.000000,-0.000000
5.043538,-0.000000,-0.000000
5.067691,-0.000000,-0.000000
5.091863,-0.000000,-0.000000
5.116052,-0.000000,-0.000000
5.140223,-0.000000,-0.000000
5.164358,-0.000000,-0.000000
5.188531,-0.000000,-0.000000
5.212572,-0.000000,-0.000000
5.236710,-0.000000,-0.000000
5.260888,0.000000,0.000000
5.284978,0.000000,0.000000
5.308997,0.000000,0.000000
5.333116,0.000000,0.000000
5.357221,0.000000,0.000000
5.381270,0.000000,0.000000
5.405322,0.000000,0.000000
5.429526,0.000000,0.000000
5.453532,0.000000,0.000000
5.477610,0.000000,0.000000
5.501665,0.000000,0.000000
5.525815,-0.000000,-0.000000
5.549865,-0.000000,-0.000000
5.573915,-0.000000,-0.000000
5.598021,-0.000000,-0.000000
5.622054,-0.000000,-0.000000
5.646103,-0.000000,-0.000000
5.670150,-0.000000,-0.000000
5.694199,-0.000000,-0.000000
5.718237,-0.000000,-0.000000
5.742204,-0.000000,-0.000000
5.766268,-0.000000,-0.000000
5.790304,-0.000000,-0.000000
5.814355,-0.000000,-0.000000
5.838488,-0.000000,-0.000000
5.862566,-0.000000,-0.000000
5.886633,-0.000000,-0.000000
5.910805,-0.000000,-0.000000
5.935118,-0.000000,-0.000000
5.959246,-0.000000,-0.000000
5.983385,-0.000000,-0.000000
6.007550,-0.000000,-0.000000
6.031693,0.000000,0.000000
6.055812,0.000000,0.000000
6.079834,0.000000,0.000000
6.103985,0.000000,0.000000
6.128092,0.000000,0.000000
6.152271,0.000000,0.000000
6.176438,0.000000,0.000000
6.200850,0.000000,0.000000
6.225379,0.000000,0.000000
6.249947,0.000000,0.000000
6.274559,0.000000,0.000000
6.299116,0.000000,0.000000
6.323492,0.000000,0.000000
6.347746,0.000000,0.000000
6.371935,0.000000,0.000000
6.396206,0.000000,0.000000
6.420497,0.000000,0.000000
6.444702,0.000000,0.000000
6.468960,0.000000,0.000000
6.493009,0.000000,0.000000
6.517254,-0.000000,-0.000000
6.541364,-0.000000,-0.000000
6.565637,-0.000000,-0.000000
6.589767,-0.000000,-0.000000
6.614057,-0.000000,-0.000000
6.638323,-0.000000,-0.000000
6.662519,-0.000000,-0.000000
6.686689,-0.000000,-0.000000
6.710819,-0.000000,-0.000000
6.734898,-0.000000,-0.000000
6.759048,-0.000000,-0.000000
6.783172,-0.000000,-0.000000
6.807290,-0.000000,-0.000000
6.831335,-0.000000,-0.000000
6.855369,-0.000000,-0.000000
6.879416,-0.000000,-0.000000
6.903451,-0.000000,-0.000000
6.927516,-0.000000,-0.000000
6.951490,-0.000000,-0.000000
6.975535,-0.000000,-0.000000
6.999581,-0.000000,-0.000000
7.023765,-0.000000,-0.000000
7.047950,-0.000000,-0.000000
7.072225,-0.000000,-0.000000
7.096325,-0.000000,-0.000000
7.120399,-0.000000,-0.000000
7.144453,-0.000000,-0.000000
7.168510,-0.000000,-0.000000
7.192582,-0.000000,-0.000000
7.216644,-0.000000,-0.000000
7.240726,-0.000000,-0.000000
7.264771,0.000000,0.000000
7.288812,0.000000,0.000000
7.312877,0.000000,0.000000
7.336995,0.000000,0.000000
7.361112,0.000000,0.000000
7.385154,0.000000,0.000000
7.409261,0.000000,0.000000
7.433379,0.000000,0.000000
7.457516,0.000000,0.000000
7.481679,0.000000,0.000000
7.505754,0.000000,0.000000
7.529784,-0.000000,-0.000000
7.553854,-0.000000,-0.000000
7.577908,-0.000000,-0.000000
7.601969,-0.000000,-0.000000
7.626028,-0.000000,-0.000000
7.650173,-0.000000,-0.000000
7.674292,-0.000000,-0.000000
7.698451,-0.000000,-0.000000
7.722820,-0.000000,-0.000000
7.747086,-0.000000,-0.000000
7.771238,-0.000000,-0.000000
7.795415,-0.000000,-0.000000
7.819604,-0.000000,-0.000000
7.843640,-0.000000,-0.000000
7.867767,-0.000000,-0.000000
7.891966,-0.000000,-0.000000
7.916232,-0.000000,-0.000000
7.940437,-0.000000,-0.000000
7.964520,-0.000000,-0.000000
7.988672,-0.000000,-0.000000
8.013160,-0.000000,-0.000000
8.037304,-0.000000,-0.000000
8.061397,-0.000000,-0.000000
8.085454,-0.000000,-0.000000
8.109528,-0.000000,-0.000000
8.133589,-0.000000,-0.000000
8.157648,-0.000000,-0.000000
8.181691,-0.000000,-0.000000
8.205749,-0.000000,-0.000000
8.229828,-0.000000,-0.000000
8.253880,-0.000000,-0.000000
8.277928,0.000000,0.000000
8.301979,0.000000,0.000000
8.326040,0.000000,0.000000
8.350147,0.000000,0.000000
8.374392,0.000000,0.000000
8.398481,0.000000,0.000000
8.422717,0.000000,0.000000
8.446852,0.000000,0.000000
8.470911,0.000000,0.000000
8.494965,0.000000,0.000000
8.519003,-0.000000,-0.000000
8.543056,-0.000000,-0.000000
8.567103,-0.000000,-0.000000
8.591073,-0.000000,-0.000000
8.615125,-0.000000,-0.000000
8.639187,-0.000000,-0.000000
8.663339,-0.000000,-0.000000
8.687306,-0.000000,-0.000000
8.711344,-0.000000,-0.000000
8.735433,-0.000000,-0.000000
8.759462,-0.000000,-0.000000
8.783505,-0.000000,-0.000000
8.807466,-0.000000,-0.000000
8.831520,-0.000000,-0.000000
8.855577,-0.000000,-0.000000
8.879631,-0.000000,-0.000000
8.903703,-0.000000,-0.000000
8.927864,-0.000000,-0.000000
8.952042,-0.000000,-0.000000
8.976069,-0.000000,-0.000000
9.000129,-0.000000,-0.000000
9.024196,0.000000,0.000000
9.048428,0.000000,0.000000
9.072603,0.000000,0.000000
9.096783,0.000000,0.000000
9.121100,0.000000,0.000000
9.145338,0.000000,0.000000
9.169620,0.000000,0.000000
9.193739,0.000000,0.000000
9.217946,0.000000,0.000000
9.242001,0.000000,0.000000
9.266158,-0.000000,-0.000000
9.290419,-0.000000,-0.000000
9.314573,-0.000000,-0.000000
9.338827,-0.000000,-0.000000
9.362916,-0.000000,-0.000000
9.387066,-0.000000,-0.000000
9.411189,-0.000000,-0.000000
9.435364,-0.000000,-0.000000
9.459515,-0.000000,-0.000000
9.483787,-0.000000,-0.000000
9.508039,-0.000000,-0.000000
9.532193,-0.000000,-0.000000
9.556376,-0.000000,-0.000000
9.580506,-0.000000,-0.000000
9.604682,-0.000000,-0.000000
9.628880,-0.000000,-0.000000
9.653131,-0.000000,-0.000000
9.677418,-0.000000,-0.000000
9.701535,-0.000000,-0.000000
9.725708,-0.000000,-0.000000
9.749890,-0.000000,-0.000000
9.774023,-0.000000,-0.000000
9.798428,-0.000000,-0.000000
9.822885,-0.000000,-0.000000
9.847180,-0.000000,-0.000000
9.871451,-0.000000,-0.000000
9.895602,-0.000000,-0.000000
9.919825,-0.000000,-0.000000
9.944058,-0.000000,-0.000000
9.968315,-0.000000,-0.000000
9.992412,-0.000000,-0.000000
10.016482,0.000000,0.000000
10.040710,0.000000,0.000000
10.064771,0.000000,0.000000
10.088819,0.000000,0.000000
10.112901,0.000000,0.000000
10.136950,0.000000,0.000000
10.161033,0.000000,0.000000
10.185061,0.000000,0.000000
10.209134,0.000000,0.000000
10.233300,0.000000,0.000000
10.257240,0.000000,0.000000
10.281188,0.000000,0.000000
10.305258,0.000000,0.000000
10.329362,0.000000,0.000000
10.353455,0.000000,0.000000
10.377538,0.000000,0.000000
10.401665,0.000000,0.000000
10.425730,0.000000,0.000000
10.449895,0.000000,0.000000
10.473951,0.000000,0.000000
10.497991,0.000000,0.000000
10.522055,0.000000,0.000000
10.546115,0.000000,0.000000
10.570283,0.000000,0.000000
10.594334,0.000000,0.000000
10.618415,0.000000,0.000000
10.642463,0.000000,0.000000
10.666518,0.000000,0.000000
10.690574,0.000000,0.000000
10.714701,0.000000,0.000000
10.738699,0.000000,0.000000
10.762748,0.000000,0.000000
10.786830,0.000000,0.000000
10.810880,0.000000,0.000000
10.834969,0.000000,0.000000
10.859013,0.000000,0.000000
10.883076,0.000000,0.000000
10.907027,0.000000,0.000000
10.931137,0.000000,0.000000
10.955265,0.000000,0.000000
10.979385,0.000000,0.000000
11.003470,0.000000,0.000000
11.027590,-0.000000,-0.000000
11.051747,-0.000000,-0.000000
11.075858,-0.000000,-0.000000
11.099883,-0.000000,-0.000000
11.123942,-0.000000,-0.000000
11.148009,-0.000000,-0.000000
11.172045,-0.000000,-0.000000
11.196120,-0.000000,-0.000000
11.220164,-0.000000,-0.000000
11.244227,-0.000000,-0.000000
11.268284,-0.000000,-0.000000
11.292334,-0.000000,-0.000000
11.317366,-0.000000,-0.000000
11.341925,-0.000000,-0.000000
11.366245,-0.000000,-0.000000
11.390585,-0.000000,-0.000000
11.414888,-0.000000,-0.000000
11.439161,-0.000000,-0.000000
11.463361,-0.000000,-0.000000
11.487438,-0.000000,-0.000000
11.511609,-0.000000,-0.000000
11.535700,-0.000000,-0.000000
11.559817,-0.000000,-0.000000
11.583885,-0.000000,-0.000000
11.608007,-0.000000,-0.000000
11.632135,-0.000000,-0.000000
11.656254,-0.000000,-0.000000
11.680294,-0.000000,-0.000000
11.704398,-0.000000,-0.000000
11.728542,-0.000000,-0.000000
11.752668,-0.000000,-0.000000
11.776771,0.000000,0.000000
11.800959,0.000000,0.000000
11.825037,0.000000,0.000000
11.849176,0.000000,0.000000
11.873226,0.000000,0.000000
11.897370,0.000000,0.000000
11.921609,0.000000,0.000000
11.945717,0.000000,0.000000
11.969742,0.000000,0.000000
11.993709,0.000000,0.000000
12.017845,0.000000,0.000000
12.041932,0.000000,0.000000
12.065969,0.000000,0.000000
12.090083,0.000000,0.000000
12.114186,0.000000,0.000000
12.138418,0.000000,0.000000
12.162485,0.000000,0.000000
12.186643,0.000000,0.000000
12.210978,0.000000,0.000000
12.235242,0.000000,0.000000
12.259345,0.000000,0.000000
12.283620,-0.000000,-0.000000
12.307881,-0.000000,-0.000000
12.332030,-0.000000,-0.000000
12.356441,-0.000000,-0.000000
12.380747,-0.000000,-0.000000
12.405022,-0.000000,-0.000000
12.429246,-0.000000,-0.000000
12.453382,-0.000000,-0.000000
12.477553,-0.000000,-0.000000
12.501691,-0.000000,-0.000000
12.525986,-0.000000,-0.000000
12.550245,-0.000000,-0.000000
12.574400,-0.000000,-0.000000
12.598527,-0.000000,-0.000000
12.622615,-0.000000,-0.000000
12.646773,-0.000000,-0.000000
12.671146,-0.000000,-0.000000
12.695505,-0.000000,-0.000000
12.719671,-0.000000,-0.000000
12.743802,-0.000000,-0.000000
12.768120,0.000000,0.000000
12.792479,0.000000,0.000000
12.816506,0.000000,0.000000
12.840604,0.000000,0.000000
12.864638,0.000000,0.000000
12.888726,0.000000,0.000000
12.912854,0.000000,0.000000
12.936900,0.000000,0.000000
12.961018,0.000000,0.000000
12.985080,0.000000,0.000000
13.009140,0.000000,0.000000
13.033097,-0.000000,-0.000000
13.057147,-0.000000,-0.000000
13.081288,-0.000000,-0.000000
13.105435,-0.000000,-0.000000
13.129485,-0.000000,-0.000000
13.153535,-0.000000,-0.000000
13.177589,-0.000000,-0.000000
13.201733,-0.000000,-0.000000
13.225775,-0.000000,-0.000000
13.249930,-0.000000,-0.000000
13.273949,0.000000,0.000000
13.298051,0.000000,0.000000
13.322045,0.000000,0.000000
13.346075,0.000000,0.000000
13.370149,0.000000,0.000000
13.394261,0.000000,0.000000
13.418312,0.000000,0.000000
13.442265,0.000000,0.000000
13.466405,0.000000,0.000000
13.490447,0.000000,0.000000
13.514596,0.000000,0.000000
13.538731,-0.000000,-0.000000
13.562884,-0.000000,-0.000000
13.586936,-0.000000,-0.000000
13.610977,-0.000000,-0.000000
13.635095,-0.000000,-0.000000
13.659161,-0.000000,-0.000000
13.683216,-0.000000,-0.000000
13.707165,-0.000000,-0.000000
