t_rel_s,force_N,force_kgf
0.022355,-0.000000,-0.000000
0.046735,-0.000000,-0.000000
0.071086,-0.000000,-0.000000
0.095271,-0.000000,-0.000000
0.119630,-0.000000,-0.000000
0.143893,-0.000000,-0.000000
0.167959,-0.000000,-0.000000
0.192027,-0.000000,-0.000000
0.216079,-0.000000,-0.000000
0.240108,-0.000000,-0.000000
0.264172,0.000000,0.000000
0.288214,0.000000,0.000000
0.312172,0.000000,0.000000
0.336115,0.000000,0.000000
0.360254,0.000000,0.000000
0.384328,0.000000,0.000000
0.408382,0.000000,0.000000
0.432452,0.000000,0.000000
0.456485,0.000000,0.000000
0.480518,0.000000,0.000000
0.504571,0.000000,0.000000
0.528718,0.645895,0.065863
0.553077,0.645895,0.065863
0.577225,0.645895,0.065863
0.601470,0.645895,0.065863
0.625614,0.645895,0.065863
0.649863,0.645895,0.065863
0.674104,0.645895,0.065863
0.698356,0.645895,0.065863
0.722432,0.645895,0.065863
0.746475,0.645895,0.065863
0.770548,1.369297,0.139629
0.794695,1.369297,0.139629
0.818756,1.369297,0.139629
0.842795,1.369297,0.139629
0.866829,1.369297,0.139629
0.890949,1.369297,0.139629
0.915046,1.369297,0.139629
0.939102,1.369297,0.139629
0.963272,1.369297,0.139629
0.987433,1.369297,0.139629
1.011588,2.066863,0.210761
1.035655,2.066863,0.210761
1.059797,2.066863,0.210761
1.083968,2.066863,0.210761
1.108347,2.066863,0.210761
1.132748,2.066863,0.210761
1.157203,2.066863,0.210761
1.182072,2.066863,0.210761
1.206496,2.066863,0.210761
1.230832,2.066863,0.210761
1.255189,2.066863,0.210761
1.279486,2.531907,0.258183
1.303832,2.531907,0.258183
1.328085,2.531907,0.258183
1.352321,2.531907,0.258183
1.376459,2.531907,0.258183
1.400647,2.531907,0.258183
1.424774,2.531907,0.258183
1.449035,2.531907,0.258183
1.473094,2.531907,0.258183
1.497236,2.531907,0.258183
1.521484,3.126130,0.318777
1.545638,3.126130,0.318777
1.569832,3.126130,0.318777
1.594047,3.126130,0.318777
1.618212,3.126130,0.318777
1.642289,3.126130,0.318777
1.666357,3.126130,0.318777
1.690493,3.126130,0.318777
1.714553,3.126130,0.318777
1.738590,3.126130,0.318777
1.762653,3.668682,0.374101
1.786705,3.668682,0.374101
1.810755,3.668682,0.374101
1.834828,3.668682,0.374101
1.858972,3.668682,0.374101
1.883148,3.668682,0.374101
1.907297,3.668682,0.374101
1.931454,3.668682,0.374101
1.955500,3.668682,0.374101
1.979552,3.668682,0.374101
2.003611,3.668682,0.374101
2.027675,4.237069,0.432061
2.051726,4.237069,0.432061
2.075764,4.237069,0.432061
2.099777,4.237069,0.432061
2.123876,4.237069,0.432061
2.147927,4.237069,0.432061
2.171991,4.237069,0.432061
2.196165,4.237069,0.432061
2.220516,4.237069,0.432061
2.244849,4.237069,0.432061
2.269199,4.831292,0.492655
2.293378,4.831292,0.492655
2.317511,4.831292,0.492655
2.341658,4.831292,0.492655
2.365757,4.831292,0.492655
2.389867,4.831292,0.492655
2.414065,4.831292,0.492655
2.438211,4.831292,0.492655
2.462213,4.831292,0.492655
2.486260,4.831292,0.492655
2.510308,5.399680,0.550614
2.534354,5.399680,0.550614
2.558598,5.399680,0.550614
2.582665,5.399680,0.550614
2.606851,5.399680,0.550614
2.631008,5.399680,0.550614
2.655348,5.399680,0.550614
2.679510,5.399680,0.550614
2.703674,5.399680,0.550614
2.727852,5.399680,0.550614
2.751886,5.399680,0.550614
2.775952,5.942231,0.605939
2.800187,5.942231,0.605939
2.824499,5.942231,0.605939
2.848635,5.942231,0.605939
2.872743,5.942231,0.605939
2.896964,5.942231,0.605939
2.921110,5.942231,0.605939
2.945283,5.942231,0.605939
2.969455,5.942231,0.605939
2.993491,5.942231,0.605939
3.017566,6.433111,0.655995
3.041737,6.433111,0.655995
3.065794,6.433111,0.655995
3.089907,6.433111,0.655995
3.113994,6.433111,0.655995
3.138156,6.433111,0.655995
3.162327,6.433111,0.655995
3.186484,6.433111,0.655995
3.210555,6.433111,0.655995
3.234793,6.433111,0.655995
3.258932,6.691469,0.682340
3.283020,6.691469,0.682340
3.307184,6.691469,0.682340
3.331327,6.691469,0.682340
3.355485,6.691469,0.682340
3.379647,6.691469,0.682340
3.403683,6.691469,0.682340
3.427761,6.691469,0.682340
3.451894,6.691469,0.682340
3.476013,6.691469,0.682340
3.500241,6.691469,0.682340
3.524506,7.104842,0.724492
3.548713,7.104842,0.724492
3.572884,7.104842,0.724492
3.597124,7.104842,0.724492
3.621328,7.104842,0.724492
3.645421,7.104842,0.724492
3.669611,7.104842,0.724492
3.693947,7.104842,0.724492
3.718057,7.104842,0.724492
3.742110,7.104842,0.724492
3.766197,7.518214,0.766644
3.790312,7.518214,0.766644
3.814326,7.518214,0.766644
3.838352,7.518214,0.766644
3.862398,7.518214,0.766644
3.886452,7.518214,0.766644
3.910568,7.518214,0.766644
3.934569,7.518214,0.766644
3.958636,7.518214,0.766644
3.982678,7.518214,0.766644
4.006845,7.518214,0.766644
4.031011,7.879915,0.803528
4.055152,7.879915,0.803528
4.079359,7.879915,0.803528
4.103598,7.879915,0.803528
4.127622,7.879915,0.803528
4.151669,7.879915,0.803528
4.175735,7.879915,0.803528
4.199927,7.879915,0.803528
4.223970,7.879915,0.803528
4.248034,7.879915,0.803528
4.272110,8.215780,0.837776
4.296160,8.215780,0.837776
4.320391,8.215780,0.837776
4.344477,8.215780,0.837776
4.368547,8.215780,0.837776
4.392810,8.215780,0.837776
4.416870,8.215780,0.837776
4.440938,8.215780,0.837776
4.465096,8.215780,0.837776
4.489151,8.215780,0.837776
4.513219,8.680824,0.885198
4.537297,8.680824,0.885198
4.561322,8.680824,0.885198
4.585428,8.680824,0.885198
4.609451,8.680824,0.885198
4.633429,8.680824,0.885198
4.657582,8.680824,0.885198
4.681663,8.680824,0.885198
4.705868,8.680824,0.885198
4.730087,8.680824,0.885198
4.754402,8.680824,0.885198
4.778535,9.068361,0.924716
4.802731,9.068361,0.924716
4.827068,9.068361,0.924716
4.851481,9.068361,0.924716
4.875573,9.068361,0.924716
4.899648,9.068361,0.924716
4.923873,9.068361,0.924716
4.948109,9.068361,0.924716
4.972304,9.068361,0.924716
4.996555,9.068361,0.924716
5.020690,9.352555,0.953695
5.044795,9.352555,0.953695
5.068837,9.352555,0.953695
5.092970,9.352555,0.953695
5.117065,9.352555,0.953695
5.141222,9.352555,0.953695
5.165381,9.352555,0.953695
5.189524,9.352555,0.953695
5.213736,9.352555,0.953695
5.237994,9.352555,0.953695
5.262139,9.714256,0.990578
